Frasso Sabino comune,Frasso Sabino comune.1
,
Frasso Sabino – Veduta,Frasso Sabino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Matteo Ippoliti (lista civica Fontana) dall'08-06-2024
Territorio,Territorio
Coordinate,42°13′47″N 12°48′17.89″E
Altitudine,412 m s.l.m.
Superficie,"4,39 km²"
Abitanti,727[1] (30-11-2025)
Densità,"165,6 ab./km²"
Frazioni,"Osteria Nuova, Immaginetta, Casali di Frasso"
Comuni confinanti,"Casaprota, Monteleone Sabino, Poggio Moiano, Poggio Nativo, Poggio San Lorenzo"
Altre informazioni,Altre informazioni
Cod. postale,02030
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057030
Cod. catastale,D785
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 115 GG[3]"
Nome abitanti,frassaroli
Patrono,san Pietro in Vincoli
Giorno festivo,23 agosto
Cartografia,Cartografia
Frasso Sabino,Frasso Sabino
Frasso Sabino – MappaPosizione del comune di Frasso Sabino nella provincia di Rieti,Frasso Sabino – MappaPosizione del comune di Frasso Sabino nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
