Vacone comune,Vacone comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Marino Capanna (lista civica Insieme per Vacone) dal 27-5-2019
Territorio,Territorio
Coordinate,42°23′N 12°39′E
Altitudine,517 m s.l.m.
Superficie,"9,19 km²"
Abitanti,217[1] (30-11-2025)
Densità,"23,61 ab./km²"
Frazioni,Casarini
Comuni confinanti,"Calvi dell'Umbria (TR), Configni, Cottanello, Montasola, Torri in Sabina"
Altre informazioni,Altre informazioni
Cod. postale,02040
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057072
Cod. catastale,L525
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 306 GG[3]"
Nome abitanti,vaconesi
Patrono,san Giovanni apostolo ed evangelista
Giorno festivo,27 dicembre
Cartografia,Cartografia
Vacone,Vacone
Vacone – MappaPosizione del comune di Vacone nella provincia di Rieti,Vacone – MappaPosizione del comune di Vacone nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
