Pescorocchiano comune,Pescorocchiano comune.1
,
Pescorocchiano – VedutaVeduta del borgo antico di Pescorocchiano,Pescorocchiano – VedutaVeduta del borgo antico di Pescorocchiano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Eliana Passacantando (lista civica Terra e Sviluppo) dal 26-05-2025
Territorio,Territorio
Coordinate,42°12′23.88″N 13°08′52.25″E
Altitudine,806 m s.l.m.
Superficie,"94,78 km²"
Abitanti,1 794[1] (30-11-2025)
Densità,"18,93 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Borgorose, Carsoli (AQ), Collalto Sabino, Fiamignano, Marcetelli, Petrella Salto, Sante Marie (AQ), Tornimparte (AQ), Varco Sabino"
Altre informazioni,Altre informazioni
Cod. postale,02024
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057049
Cod. catastale,G498
Targa,RI
Cl. sismica,zona 1 (sismicità alta) zona 2A (sismicità media)[2]
Cl. climatica,"zona E, 2 832 GG[3]"
Nome abitanti,pescorocchianesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Pescorocchiano,Pescorocchiano
Pescorocchiano – MappaPosizione del comune di Pescorocchiano nella provincia di Rieti,Pescorocchiano – MappaPosizione del comune di Pescorocchiano nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
