Petrella Salto comune,Petrella Salto comune.1
,
Petrella Salto – VedutaVeduta di Petrella Salto,Petrella Salto – VedutaVeduta di Petrella Salto
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Gaetano Micaloni (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°18′N 13°04′E
Altitudine,786 m s.l.m.
Superficie,"102,93 km²"
Abitanti,1 018[1] (30-11-2025)
Densità,"9,89 ab./km²"
Frazioni,"Borgo San Pietro, Capradosso, Castel Mareri, Cerreta, Colle della Sponga, Colle Rosso, Diga Salto, Fiumata, Offeio, Oiano, Pagliara, Piagge, San Martino, Staffoli, Teglieto, Casali Petrangeli"
Comuni confinanti,"Antrodoco, Borgo Velino, Cittaducale, Concerviano, Fiamignano, Longone Sabino, Pescorocchiano, Varco Sabino"
Altre informazioni,Altre informazioni
Cod. postale,02025
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057050
Cod. catastale,G513
Targa,RI
Cl. sismica,zona 2A (sismicità media)[2]
Cl. climatica,"zona E, 2 652 GG[3]"
Nome abitanti,petrellani
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Petrella Salto,Petrella Salto
Petrella Salto – MappaPosizione del comune di Petrella Salto nella provincia di Rieti,Petrella Salto – MappaPosizione del comune di Petrella Salto nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
