Cittaducale comune,Cittaducale comune.1
,
Cittaducale – VedutaCittaducale vista dalla Via Salaria,Cittaducale – VedutaCittaducale vista dalla Via Salaria
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Leonardo Ranalli (lista civica Svolta Comune) dal 13-6-2022 (2º mandato)
Territorio,Territorio
Coordinate,42°23′N 12°57′E
Altitudine,481 m s.l.m.
Superficie,"71,25 km²"
Abitanti,6 409[1] (30-11-2025)
Densità,"89,95 ab./km²"
Frazioni,"Calcariola, Caporio, Cesoni, Grotti, Micciani, Pendenza, Santa Rufina, Villa Grotti"
Comuni confinanti,"Borgo Velino, Castel Sant'Angelo, Longone Sabino, Micigliano, Petrella Salto, Rieti"
Altre informazioni,Altre informazioni
Cod. postale,02015
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057016
Cod. catastale,C746
Targa,RI
Cl. sismica,zona 2A (sismicità media)[2]
Cl. climatica,"zona E, 2 240 GG[3]"
Nome abitanti,civitesi
Patrono,Magno di Anagni
Giorno festivo,19 agosto
Cartografia,Cartografia
Cittaducale,Cittaducale
Cittaducale – MappaPosizione del comune di Cittaducale nella provincia di Rieti,Cittaducale – MappaPosizione del comune di Cittaducale nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
