Mompeo comune,Mompeo comune.1
,
Mompeo – VedutaPanorama,Mompeo – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Michela Cortegiani (lista civica Vivi Mompeo) dal 27-5-2019
Territorio,Territorio
Coordinate,42°14′56.4″N 12°45′06.48″E
Altitudine,457 m s.l.m.
Superficie,"10,89 km²"
Abitanti,505[1] (30-11-2025)
Densità,"46,37 ab./km²"
Frazioni,"Lavandara (Vocabolo Voltafonte), Madonna del Mattone, Vocabolo Collericcio"
Comuni confinanti,"Casaprota, Castelnuovo di Farfa, Monte San Giovanni in Sabina, Montenero Sabino, Poggio Nativo, Salisano"
Altre informazioni,Altre informazioni
Cod. postale,02040
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057038
Cod. catastale,F319
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 196 GG[3]"
Nome abitanti,mompeani
Patrono,Sant'Egidio
Giorno festivo,1º settembre
Cartografia,Cartografia
Mompeo,Mompeo
Mompeo – MappaPosizione del comune di Mompeo nella provincia di Rieti,Mompeo – MappaPosizione del comune di Mompeo nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
