Cosenza comune,Cosenza comune.1
,
Cosenza – VedutaScorcio della città dal colle Pancrazio,Cosenza – VedutaScorcio della città dal colle Pancrazio
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Franz Caruso (PSI) dal 23-10-2021
Territorio,Territorio
Coordinate,39°18′N 16°15′E
Altitudine,238 m s.l.m.
Superficie,"37,81 km²"
Abitanti,63 443[1] (30-11-2025)
Densità,"1 677,94 ab./km²"
Frazioni,"Borgo Partenope, Donnici, Sant'Ippolito"
Comuni confinanti,"Aprigliano, Casali del Manco, Castrolibero, Dipignano, Mendicino, Paterno Calabro, Piane Crati, Pietrafitta, Rende, Rovito, Zumpano"
Altre informazioni,Altre informazioni
Cod. postale,87100
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078045
Cod. catastale,D086
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 317 GG[3]"
Nome abitanti,cosentini (cusintini in dialetto cosentino)
Patrono,Madonna del Pilerio
Giorno festivo,12 febbraio
Soprannome,La città dei Bruzi Atene della Calabria[4][5][6][7]
Cartografia,Cartografia
Cosenza,Cosenza
Cosenza – MappaPosizione del comune di Cosenza all'interno dell'omonima provincia,Cosenza – MappaPosizione del comune di Cosenza all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
