Crosia comune,Crosia comune.1
,
Crosia – Veduta,Crosia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Maria Teresa Aiello (lista civica Insieme) dal 10-6-2024
Territorio,Territorio
Coordinate,39°34′N 16°46′E
Altitudine,230 m s.l.m.
Superficie,"21,1 km²"
Abitanti,9 621[1] (30-11-2025)
Densità,"455,97 ab./km²"
Frazioni,"Fiumarella, Mirto, Pantano, Sorrenti, Cocurici, Parrilla, Macchie, Misule, Trionto, Sottoferrovia, Loc. Verdesca, Mirto Castello, Cuppo, Quadricelli"
Comuni confinanti,"Calopezzati, Corigliano-Rossano"
Altre informazioni,Altre informazioni
Cod. postale,87060
Prefisso,0983
Fuso orario,UTC+1
Codice ISTAT,078047
Cod. catastale,D184
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,crosioti
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Crosia,Crosia
Crosia – MappaPosizione del comune di Crosia all'interno della provincia di Cosenza,Crosia – MappaPosizione del comune di Crosia all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
