Rogliano comune,Rogliano comune.1
,
Rogliano – Veduta,Rogliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Giovanni Altomare (Rogliano di tutti) dal 4-10-2021
Territorio,Territorio
Coordinate,39°11′N 16°19′E
Altitudine,660 m s.l.m.
Superficie,"41,42 km²"
Abitanti,5 153[1] (30-11-2025)
Densità,"124,41 ab./km²"
Frazioni,"Acqua del Tiglio, Balzata, Cappuccini Vecchi, Manche, Melobuono, Poverella, Saliano"
Comuni confinanti,"Aprigliano, Marzi, Parenti, Santo Stefano di Rogliano"
Altre informazioni,Altre informazioni
Cod. postale,87054
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078105
Cod. catastale,H490
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,roglianesi
Patrono,Madonna dell'Immacolata
Giorno festivo,8 dicembre
Cartografia,Cartografia
Rogliano,Rogliano
Rogliano – MappaPosizione del comune di Rogliano all'interno della provincia di Cosenza,Rogliano – MappaPosizione del comune di Rogliano all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
