Diamante comune,Diamante comune.1
,
Diamante – Veduta,Diamante – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Achille Ordine (Lista civica Nuova Era) dal 14-6-2024
Territorio,Territorio
Coordinate,39°41′N 15°49′E
Altitudine,25 m s.l.m.
Superficie,"12,21 km²"
Abitanti,4 948[1] (30-11-2025)
Densità,"405,24 ab./km²"
Frazioni,Cirella
Comuni confinanti,"Belvedere Marittimo, Buonvicino, Grisolia, Maierà"
Altre informazioni,Altre informazioni
Cod. postale,87023
Prefisso,0985
Fuso orario,UTC+1
Codice ISTAT,078048
Cod. catastale,D289
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 873 GG[3]"
Nome abitanti,diamantesi o adamantini
Patrono,Immacolata Concezione
Giorno festivo,8 dicembre e 12 agosto
Cartografia,Cartografia
Diamante,Diamante
Diamante – MappaPosizione del comune di Diamante all'interno della provincia di Cosenza,Diamante – MappaPosizione del comune di Diamante all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
