Malvito comune,Malvito comune.1
,
Malvito – VedutaPanorama del centro storico.,Malvito – VedutaPanorama del centro storico.
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Francesca Rosa D'Ambra (Malvito Futura) dal 10-6-2024
Territorio,Territorio
Coordinate,39°36′N 16°03′E
Altitudine,449 m s.l.m.
Superficie,"38,24 km²"
Abitanti,1 589[1] (28-2-2025)
Densità,"41,55 ab./km²"
Frazioni,"Pauciuri, Piana, Vaditari"
Comuni confinanti,"Cetraro, Fagnano Castello, Mottafollone, Roggiano Gravina, San Sosti, Sant'Agata di Esaro, Santa Caterina Albanese"
Altre informazioni,Altre informazioni
Cod. postale,87010
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078073
Cod. catastale,E872
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 821 GG[3]"
Nome abitanti,malvitani
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Malvito,Malvito
Malvito – MappaPosizione del comune di Malvito all'interno della provincia di Cosenza,Malvito – MappaPosizione del comune di Malvito all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
