Mormanno comune,Mormanno comune.1
,
Mormanno – Veduta,Mormanno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Paolo Pappaterra (lista civica ""Avanti Mormanno con Forza"") dal 13-6-2022"
Territorio,Territorio
Coordinate,39°53′N 15°59′E
Altitudine,840 m s.l.m.
Superficie,"78,88 km²"
Abitanti,2 477[1] (30-11-2025)
Densità,"31,4 ab./km²"
Comuni confinanti,"Laino Castello, Morano Calabro, Orsomarso, Papasidero, Rotonda (PZ), Viggianello (PZ), Saracena"
Altre informazioni,Altre informazioni
Cod. postale,87026
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078084
Cod. catastale,F735
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 477 GG[3]"
Nome abitanti,mormannesi
Patrono,"Madonna Assunta in Cielo, san Rocco di Montpellier"
Giorno festivo,16 agosto
Cartografia,Cartografia
Mormanno,Mormanno
Mormanno – MappaPosizione del comune di Mormanno all'interno della provincia di Cosenza,Mormanno – MappaPosizione del comune di Mormanno all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
