Terranova da Sibari comune,Terranova da Sibari comune.1
,
Terranova da Sibari – VedutaIl castello feudale,Terranova da Sibari – VedutaIl castello feudale
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Francesco Rumanò (lista civica ""L'Alternativa"") dal 10-6-2024"
Territorio,Territorio
Coordinate,39°39′N 16°20′E
Altitudine,313 m s.l.m.
Superficie,"43,46 km²"
Abitanti,4 440[1] (30-11-2025)
Densità,"102,16 ab./km²"
Comuni confinanti,"Corigliano-Rossano, San Demetrio Corone, Spezzano Albanese, Tarsia"
Altre informazioni,Altre informazioni
Cod. postale,87010
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078146
Cod. catastale,L124
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,terranovesi
Patrono,san Francesco di Paola
Giorno festivo,seconda domenica di maggio
Cartografia,Cartografia
Terranova da Sibari,Terranova da Sibari
Terranova da Sibari – MappaPosizione del comune di Terranova da Sibari all'interno della provincia di Cosenza,Terranova da Sibari – MappaPosizione del comune di Terranova da Sibari all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
