Plàtaci comune,Plàtaci comune.1
,
Plàtaci – VedutaVista aerea panoramica di Plataci,Plàtaci – VedutaVista aerea panoramica di Plataci
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Pietro Giuseppe Stamati (lista civica) dal 14-6-2022
Territorio,Territorio
Coordinate,39°54′N 16°26′E
Altitudine,930 m s.l.m.
Superficie,"49,41 km²"
Abitanti,626[1] (30-11-2025)
Densità,"12,67 ab./km²"
Comuni confinanti,"Albidona, Alessandria del Carretto, Cerchiara di Calabria, Trebisacce, Villapiana"
Altre informazioni,Altre informazioni
Cod. postale,87070
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078100
Cod. catastale,G733
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,platacesi (italiano) pllatënian (arbëresh)
Patrono,san Giovanni Battista
Giorno festivo,ultima domenica di settembre
Cartografia,Cartografia
Plàtaci,Plàtaci
Plàtaci – MappaPosizione del comune di Plataci all'interno della provincia di Cosenza,Plàtaci – MappaPosizione del comune di Plataci all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
