Aieta comune,Aieta comune.1
,
Aieta – Veduta,Aieta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Pasquale De Franco (lista civica ""Il paese che vogliamo"") dal 4-10-2021"
Territorio,Territorio
Coordinate,39°56′N 15°49′E
Altitudine,524 m s.l.m.
Superficie,"48,3 km²"
Abitanti,704[1] (30-11-2025)
Densità,"14,58 ab./km²"
Frazioni,"Massadita, Villaggio Primo Maggio"
Comuni confinanti,"Laino Borgo, Laino Castello, Papasidero, Praia a Mare, Tortora"
Altre informazioni,Altre informazioni
Cod. postale,87020
Prefisso,0985
Fuso orario,UTC+1
Codice ISTAT,078005
Cod. catastale,A105
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 780 GG[3]"
Nome abitanti,aietani
Patrono,San Vito
Giorno festivo,15 giugno
Cartografia,Cartografia
Aieta,Aieta
Aieta – MappaPosizione del comune di Aieta all'interno della provincia di Cosenza,Aieta – MappaPosizione del comune di Aieta all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
