Grisolia comune,Grisolia comune.1
,
Grisolia – VedutaVista di Grisolia dalla Schina,Grisolia – VedutaVista di Grisolia dalla Schina
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Saverio Bellusci (lista civica Grisolia unita) dal 22-9-2020
Territorio,Territorio
Coordinate,39°42′49.5″N 15°53′51.31″E
Altitudine,465 m s.l.m.
Superficie,"51,75[1] km²"
Abitanti,2 159[2] (30-11-2025)
Densità,"41,72 ab./km²"
Frazioni,"Grisolia Scalo, Scalo Ferroviario, Finieri, Valle dell'Orco, Grisolia Lido, Acchio-Fiumicello, Pantanelli"
Comuni confinanti,"Buonvicino, Diamante, Maierà, Mottafollone, San Donato di Ninea, San Sosti, Santa Maria del Cedro, Verbicaro"
Altre informazioni,Altre informazioni
Cod. postale,87020
Prefisso,0985
Fuso orario,UTC+1
Codice ISTAT,078060
Cod. catastale,E185
Targa,CS
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 735 GG[4]"
Nome abitanti,grisolioti
Patrono,sant'Antonio di Padova (la città è però molto devota anche a san Rocco di Montpellier festeggiato il 16 agosto)
Giorno festivo,13 giugno
PIL procapite,"(nominale) 8,68 mln di lire (1991)[5]"
Cartografia,Cartografia
Grisolia,Grisolia
Grisolia – MappaPosizione del comune di Grisolia all'interno della provincia di Cosenza,Grisolia – MappaPosizione del comune di Grisolia all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
