Roggiano Gravina comune,Roggiano Gravina comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Salvatore De Maio (lista civica Roggiano nel cuore) dal 22-9-2020
Territorio,Territorio
Coordinate,39°37′N 16°09′E
Altitudine,260[1] m s.l.m.
Superficie,"45,21 km²"
Abitanti,6 711[2] (30-11-2025)
Densità,"148,44 ab./km²"
Frazioni,"Casello dei Morti, Difisola, Padelli, Pianette, Piano delle Rose, Scalo di Tarsia"
Comuni confinanti,"Altomonte, Malvito, San Lorenzo del Vallo, San Marco Argentano, San Sosti, Santa Caterina Albanese, Tarsia"
Altre informazioni,Altre informazioni
Cod. postale,87017
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078104
Cod. catastale,H488
Targa,CS
Cl. sismica,zona 2 (sismicità media)[3]
Nome abitanti,roggianesi
Patrono,san Francesco da Paola
Giorno festivo,3 dicembre
Cartografia,Cartografia
Roggiano Gravina,Roggiano Gravina
Roggiano Gravina – MappaPosizione del comune di Roggiano Gravina all'interno della provincia di Cosenza,Roggiano Gravina – MappaPosizione del comune di Roggiano Gravina all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
