San Marco Argentano comune,San Marco Argentano comune.1
,
San Marco Argentano – VedutaVeduta del paese dalla torre normanna,San Marco Argentano – VedutaVeduta del paese dalla torre normanna
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Virginia Mariotti (Continuità e Rinnovamento) dal 10-6-2024
Territorio,Territorio
Coordinate,39°33′N 16°07′E
Altitudine,426[1] m s.l.m.
Superficie,"80,5 km²"
Abitanti,6 787[2] (30-11-2025)
Densità,"84,31 ab./km²"
Frazioni,"Cimino, Ghiandaro, Iotta, Matina, San Marco Scalo, ecc."
Comuni confinanti,"Bisignano, Fagnano Castello, Cervicati, Mongrassano, Roggiano Gravina, Santa Caterina Albanese, Tarsia"
Altre informazioni,Altre informazioni
Cod. postale,87018
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078123
Cod. catastale,H981
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[3]
Nome abitanti,sanmarchesi
Patrono,san Marco Evangelista
Giorno festivo,25 aprile
Cartografia,Cartografia
San Marco Argentano,San Marco Argentano
San Marco Argentano – MappaPosizione del comune di San Marco Argentano all'interno della provincia di Cosenza,San Marco Argentano – MappaPosizione del comune di San Marco Argentano all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
