Fuscaldo comune,Fuscaldo comune.1
,
Fuscaldo – Veduta,Fuscaldo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Giacomo Middea (lista civica Uniamo Fuscaldo) dal 4-10-2021
Territorio,Territorio
Coordinate,39°25′N 16°02′E
Altitudine,350 m s.l.m.
Superficie,"60,8 km²"
Abitanti,7 929[1] (30-11-2025)
Densità,"130,41 ab./km²"
Frazioni,"Cariglio, Pesco, San Pietro, Sant'Antonio, Scarcelli"
Comuni confinanti,"Cerzeto, Guardia Piemontese, Lattarico, Mongrassano, Montalto Uffugo, Paola, Rota Greca, San Benedetto Ullano"
Altre informazioni,Altre informazioni
Cod. postale,87024
Prefisso,0982
Fuso orario,UTC+1
Codice ISTAT,078058
Cod. catastale,D828
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,fuscaldesi
Patrono,san Giacomo Maggiore e san Francesco di Paola
Giorno festivo,25 luglio e 13 agosto
Cartografia,Cartografia
Fuscaldo,Fuscaldo
Fuscaldo – MappaPosizione del comune di Fuscaldo all'interno della provincia di Cosenza,Fuscaldo – MappaPosizione del comune di Fuscaldo all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
