Montegiordano comune,Montegiordano comune.1
,
Montegiordano – Veduta,Montegiordano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Rocco Introcaso (lista civica Un nuovo cammino per Montegiordano) dal 27-5-2019
Territorio,Territorio
Coordinate,40°03′N 16°32′E
Altitudine,619 m s.l.m.
Superficie,35 km²
Abitanti,1 503[1] (30-11-2025)
Densità,"42,94 ab./km²"
Frazioni,"Montegiordano Marina, Contrada Padula, Mandrone"
Comuni confinanti,"Canna, Oriolo, Rocca Imperiale, Roseto Capo Spulico"
Altre informazioni,Altre informazioni
Cod. postale,87070
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078082
Cod. catastale,F519
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 040 GG[3]"
Nome abitanti,montegiordanesi
Patrono,sant'Antonio da Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Montegiordano,Montegiordano
Montegiordano – MappaPosizione del comune di Montegiordano all'interno della provincia di Cosenza,Montegiordano – MappaPosizione del comune di Montegiordano all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
