Torano Castello comune,Torano Castello comune.1
,
Torano Castello – Veduta,Torano Castello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Lucio Franco Raimondo (lista civica Rivoluzioniamo Torano) dal 26-5-2019
Territorio,Territorio
Coordinate,39°30′N 16°09′E
Altitudine,370 m s.l.m.
Superficie,"30,22 km²"
Abitanti,4 261[1] (30-11-2025)
Densità,141 ab./km²
Frazioni,"Sartano, Torano Scalo, Salice, Peritano"
Comuni confinanti,"Bisignano, Cerzeto, Lattarico, San Martino di Finita"
Altre informazioni,Altre informazioni
Cod. postale,87010
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078148
Cod. catastale,L206
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,toranesi[3]
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Torano Castello,Torano Castello
Torano Castello – MappaPosizione del comune di Torano Castello all'interno della provincia di Cosenza,Torano Castello – MappaPosizione del comune di Torano Castello all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
