Bonifati comune,Bonifati comune.1
,
Bonifati – Veduta,Bonifati – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Francesco Grosso (lista civica Bonifati Insieme) dal 15-5-2023 (2º mandato)
Territorio,Territorio
Coordinate,39°35′N 15°54′E
Altitudine,425 m s.l.m.
Superficie,"33,85 km²"
Abitanti,2 510[1] (30-11-2025)
Densità,"74,15 ab./km²"
Frazioni,"Cirimarco, Cittadella del Capo, Iardino, Paneduro, Pero, San Candido, San Lorenzo, Sparvasile, Telegrafo, Timpone, Torrevecchia"
Comuni confinanti,"Cetraro, Sangineto, Sant'Agata di Esaro"
Altre informazioni,Altre informazioni
Cod. postale,87020
Prefisso,0982
Fuso orario,UTC+1
Codice ISTAT,078019
Cod. catastale,A973
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,bonifatesi
Patrono,Santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Bonifati,Bonifati
Bonifati – MappaPosizione del comune di Bonifati all'interno della provincia di Cosenza,Bonifati – MappaPosizione del comune di Bonifati all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
