Cassano all'Ionio comune,Cassano all'Ionio comune.1
,
Cassano all'Ionio – Veduta,Cassano all'Ionio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Gianpaolo Iacobini (indipendente di centro-destra) dal 26-5-2025
Territorio,Territorio
Coordinate,39°47′02″N 16°19′08″E
Altitudine,250 m s.l.m.
Superficie,"159,24 km²"
Abitanti,16 340[1] (30-11-2025)
Densità,"102,61 ab./km²"
Frazioni,"Doria, Lauropoli, Sibari"
Comuni confinanti,"Castrovillari, Cerchiara di Calabria, Civita, Corigliano-Rossano, Francavilla Marittima, Frascineto, Spezzano Albanese, Villapiana"
Altre informazioni,Altre informazioni
Cod. postale,87011
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078029
Cod. catastale,C002
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,cassanesi
Patrono,"Santissimo Crocifisso, san Biagio"
Giorno festivo,"primo venerdì di marzo, 3 febbraio"
Cartografia,Cartografia
Cassano all'Ionio,Cassano all'Ionio
Cassano all'Ionio – MappaPosizione del comune di Cassano all'Ionio all'interno della provincia di Cosenza,Cassano all'Ionio – MappaPosizione del comune di Cassano all'Ionio all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
