Cerisano comune,Cerisano comune.1
,
Cerisano – Veduta,Cerisano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Lucio Di Gioia (Sempre Cerisano) dal 4-10-2021
Territorio,Territorio
Coordinate,39°17′N 16°11′E
Altitudine,610 m s.l.m.
Superficie,"15,43 km²"
Abitanti,2 912[1] (30-11-2025)
Densità,"188,72 ab./km²"
Frazioni,"Codicina, Cozzo del Monte, Manche, Pianetto, Valli, Zadiana, Pira."
Comuni confinanti,"Castrolibero, Falconara Albanese, Fiumefreddo Bruzio, Marano Principato, Mendicino"
Altre informazioni,Altre informazioni
Cod. postale,87044
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078037
Cod. catastale,C515
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,cerisanesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Cerisano,Cerisano
Cerisano – MappaPosizione del comune di Cerisano all'interno della provincia di Cosenza,Cerisano – MappaPosizione del comune di Cerisano all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
