Caloveto comune,Caloveto comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Umberto Mazza (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,39°30′N 16°46′E
Altitudine,385 m s.l.m.
Superficie,"24,96 km²"
Abitanti,1 046[1] (30-11-2025)
Densità,"41,91 ab./km²"
Frazioni,"Liboia, Dema, Trionto"
Comuni confinanti,"Calopezzati, Cropalati, Longobucco, Pietrapaola"
Altre informazioni,Altre informazioni
Cod. postale,87060
Prefisso,0983
Fuso orario,UTC+1
Codice ISTAT,078022
Cod. catastale,B426
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,calovetesi
Patrono,san Giovanni Calibita
Giorno festivo,15 gennaio e 16 luglio
Cartografia,Cartografia
Caloveto,Caloveto
Caloveto – MappaPosizione del comune di Caloveto all'interno della provincia di Cosenza,Caloveto – MappaPosizione del comune di Caloveto all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
