Piane Crati comune,Piane Crati comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Stefano Borrelli (lista civica ""Piane Crati 2023"") dal 15-5-2023"
Territorio,Territorio
Coordinate,39°14′08.85″N 16°19′15.84″E
Altitudine,609 m s.l.m.
Superficie,"2,45 km²"
Abitanti,1 285[1] (30-11-2025)
Densità,"524,49 ab./km²"
Frazioni,"Chiarrione, San Marco, Taverna Sottana"
Comuni confinanti,"Aprigliano, Cosenza, Figline Vegliaturo, Paterno Calabro"
Altre informazioni,Altre informazioni
Cod. postale,87050
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078097
Cod. catastale,G553
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,pianoti
Patrono,santa Barbara
Cartografia,Cartografia
Piane Crati,Piane Crati
Piane Crati – MappaPosizione del comune di Piane Crati all'interno della provincia di Cosenza,Piane Crati – MappaPosizione del comune di Piane Crati all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
