Praia a Mare comune,Praia a Mare comune.1
,
Praia a Mare – VedutaPanorama della spiaggia di Praia a Mare e l'Isola di Dino,Praia a Mare – VedutaPanorama della spiaggia di Praia a Mare e l'Isola di Dino
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Antonino De Lorenzo (Lista civica Puntoeacapo) dal 12-6-2022
Territorio,Territorio
Coordinate,39°53′52.67″N 15°48′30.3″E
Altitudine,5 m s.l.m.
Superficie,"23,59 km²"
Abitanti,6 275[1] (30-11-2025)
Densità,266 ab./km²
Frazioni,"Colcinello, Foresta, Fortino, Fiuzzi, Laccata, Mantinera, Santo Stefano, Saracinello, Viscigliosa, Zaparia, Vingiolo, Isola di Dino"
Comuni confinanti,"Aieta, Papasidero, San Nicola Arcella, Santa Domenica Talao, Tortora"
Altre informazioni,Altre informazioni
Cod. postale,87028
Prefisso,0985
Fuso orario,UTC+1
Codice ISTAT,078101
Cod. catastale,G975
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,praiesi
Patrono,Madonna della Grotta
Giorno festivo,15 agosto
Cartografia,Cartografia
Praia a Mare,Praia a Mare
Praia a Mare – MappaPosizione del comune di Praia a Mare all'interno della provincia di Cosenza,Praia a Mare – MappaPosizione del comune di Praia a Mare all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
