Rocca Imperiale comune,Rocca Imperiale comune.1
,
Rocca Imperiale – VedutaPanoramica del borgo,Rocca Imperiale – VedutaPanoramica del borgo
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Giuseppe Ranù (lista civica Rocca che Cambia 3.0) dal 09-06-2024 (3⁰ mandato)
Territorio,Territorio
Coordinate,40°06′23.07″N 16°35′41.64″E
Altitudine,204 m s.l.m.
Superficie,"55,03 km²"
Abitanti,3 133[1] (30-11-2025)
Densità,"56,93 ab./km²"
Frazioni,Marina di Rocca Imperiale
Comuni confinanti,"Canna, Montegiordano, Nova Siri (MT)"
Altre informazioni,Altre informazioni
Cod. postale,87074
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078103
Cod. catastale,H416
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,rocchesi
Patrono,Madonna della Nova
Giorno festivo,2 luglio
Cartografia,Cartografia
Rocca Imperiale,Rocca Imperiale
Rocca Imperiale – MappaPosizione del comune di Rocca Imperiale all'interno della provincia di Cosenza,Rocca Imperiale – MappaPosizione del comune di Rocca Imperiale all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
