Orsomarso comune,Orsomarso comune.1
,
Orsomarso – Veduta,Orsomarso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Alberto Bottone (lista civica Realizziamo Orsomarso) dal 22-9-2020
Territorio,Territorio
Coordinate,39°48′N 15°55′E
Altitudine,120 m s.l.m.
Superficie,"90,41 km²"
Abitanti,1 053[1] (30-11-2025)
Densità,"11,65 ab./km²"
Frazioni,"Bonicose, Buonangelo, Castiglione, Marina di Orsomarso, Molina, Scorpari, Vallementa"
Comuni confinanti,"Lungro, Mormanno, Papasidero, San Donato di Ninea, Santa Domenica Talao, Santa Maria del Cedro, Saracena, Scalea, Verbicaro"
Altre informazioni,Altre informazioni
Cod. postale,87020
Prefisso,0985
Fuso orario,UTC+1
Codice ISTAT,078088
Cod. catastale,G129
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,orsomarsesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Orsomarso,Orsomarso
Orsomarso – MappaPosizione del comune di Orsomarso all'interno della provincia di Cosenza,Orsomarso – MappaPosizione del comune di Orsomarso all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
