Trebisacce comune,Trebisacce comune.1
,
Trebisacce – VedutaVista aerea panoramica di Trebisacce,Trebisacce – VedutaVista aerea panoramica di Trebisacce
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Francesco Mundo (Rinascita (lista civica)) dal 10-6-2024
Territorio,Territorio
Coordinate,39°52′N 16°32′E
Altitudine,73 m s.l.m.
Superficie,"26,72 km²"
Abitanti,8 592[1] (30-11-2025)
Densità,"321,56 ab./km²"
Frazioni,"Sant'Antonio, Pagliara, Rovitti e Giardini"
Comuni confinanti,"Albidona, Plataci, Villapiana"
Altre informazioni,Altre informazioni
Cod. postale,87075
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078150
Cod. catastale,L353
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 973 GG[3]"
Nome abitanti,trebisaccesi
Patrono,san Leonardo
Giorno festivo,6 novembre
Cartografia,Cartografia
Trebisacce,Trebisacce
Trebisacce – MappaPosizione del comune di Trebisacce all'interno della provincia di Cosenza,Trebisacce – MappaPosizione del comune di Trebisacce all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
