Grimaldi comune,Grimaldi comune.1
,
Grimaldi – Veduta,Grimaldi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Paolo Stilla (lista civica Un futuro per Grimaldi) dal 10-06-2024
Territorio,Territorio
Coordinate,39°09′N 16°14′E
Altitudine,650 m s.l.m.
Superficie,"24,71 km²"
Abitanti,1 492[1] (30-11-2025)
Densità,"60,38 ab./km²"
Comuni confinanti,"Aiello Calabro, Altilia, Domanico, Lago, Malito, Martirano (CZ)"
Altre informazioni,Altre informazioni
Cod. postale,87034
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078059
Cod. catastale,E180
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,Grimaldesi
Patrono,Santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Grimaldi,Grimaldi
Grimaldi – MappaPosizione del comune di Grimaldi all'interno della provincia di Cosenza,Grimaldi – MappaPosizione del comune di Grimaldi all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
