Longobardi comune,Longobardi comune.1
,
Longobardi – VedutaChiesa di Santa Domenica,Longobardi – VedutaChiesa di Santa Domenica
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Giacinto Mannarino (lista civica Longobardi oltre il 2000) dal 10-06-2024 (Quarto mandato consecutivo)
Territorio,Territorio
Coordinate,39°12′N 16°05′E
Altitudine,325 m s.l.m.
Superficie,"18,24 km²"
Abitanti,3 205[1] (30-11-2025)
Densità,"175,71 ab./km²"
Comuni confinanti,"Belmonte Calabro, Fiumefreddo Bruzio, Mendicino"
Altre informazioni,Altre informazioni
Cod. postale,87030
Prefisso,0982
Fuso orario,UTC+1
Codice ISTAT,078067
Cod. catastale,E677
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,longobardesi
Patrono,san Nicola da Longobardi
Giorno festivo,3 febbraio
Cartografia,Cartografia
Longobardi,Longobardi
Longobardi – MappaPosizione del comune di Longobardi all'interno della provincia di Cosenza,Longobardi – MappaPosizione del comune di Longobardi all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
