Santa Sofia d'Epiro comune,Santa Sofia d'Epiro comune.1
,
Santa Sofia d'Epiro – VedutaSanta Sofia d'Epiro,Santa Sofia d'Epiro – VedutaSanta Sofia d'Epiro
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Daniele Atanasio Sisca (Rilanciamo Santa Sofia) dal 26-5-2019
Territorio,Territorio
Coordinate,39°33′N 16°20′E
Altitudine,558 m s.l.m.
Superficie,"39,22 km²"
Abitanti,2 088[1] (30-11-2025)
Densità,"53,24 ab./km²"
Frazioni,"Acci, Castellano, Cavallo d'Oro, Mustica, Scesci, Serra di Zoto"
Comuni confinanti,"Acri, Bisignano, San Demetrio Corone, Tarsia"
Altre informazioni,Altre informazioni
Cod. postale,87048
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078133
Cod. catastale,I309
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,sofioti (in lingua arbëreshe Shënsofjotë)
Patrono,"Sant'Atanasio (Shën Thanasitë), Sofia Martire (Shën Sofia)"
Giorno festivo,"2 maggio, 30 settembre"
Cartografia,Cartografia
Santa Sofia d'Epiro,Santa Sofia d'Epiro
Santa Sofia d'Epiro – MappaPosizione del comune di Santa Sofia d'Epiro all'interno della provincia di Cosenza,Santa Sofia d'Epiro – MappaPosizione del comune di Santa Sofia d'Epiro all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
