Roseto Capo Spulico comune,Roseto Capo Spulico comune.1
,
Roseto Capo Spulico – Veduta,Roseto Capo Spulico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Giovanni Pugliese (lista civica Sì-Amo Roseto) dal 10-6-2024
Territorio,Territorio
Coordinate,39°59′N 16°36′E
Altitudine,217 m s.l.m.
Superficie,"30,66 km²"
Abitanti,1 870[1] (30-11-2025)
Densità,"60,99 ab./km²"
Frazioni,"Borgata Marina, Borgo Roseto, Villaggio Baiabella, Contrada Civita"
Comuni confinanti,"Amendolara, Montegiordano, Oriolo"
Altre informazioni,Altre informazioni
Cod. postale,87070
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078107
Cod. catastale,H572
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,rosetani
Patrono,san Nicola di Mira (Roseto paese); sant'Anna (Roseto Marina)
Giorno festivo,6 dicembre; 26 luglio
Cartografia,Cartografia
Roseto Capo Spulico,Roseto Capo Spulico
Roseto Capo Spulico – MappaPosizione del comune di Roseto Capo Spulico all'interno della provincia di Cosenza,Roseto Capo Spulico – MappaPosizione del comune di Roseto Capo Spulico all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
