Nocara comune,Nocara comune.1
,
Nocara – Veduta,Nocara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Mariantonietta Pandolfi (lista civica ""Insieme per un futuro migliore"") dal 25-5-2019"
Territorio,Territorio
Coordinate,40°06′N 16°29′E
Altitudine,859 m s.l.m.
Superficie,"34,05 km²"
Abitanti,284[1] (30-11-2025)
Densità,"8,34 ab./km²"
Comuni confinanti,"Canna, Nova Siri (MT), Oriolo, San Giorgio Lucano (MT), Valsinni (MT)"
Altre informazioni,Altre informazioni
Cod. postale,87070
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078086
Cod. catastale,F907
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,nocaresi
Patrono,san Nicola
Giorno festivo,9 maggio
Cartografia,Cartografia
Nocara,Nocara
Nocara – MappaPosizione del comune di Nocara all'interno della Provincia di Cosenza,Nocara – MappaPosizione del comune di Nocara all'interno della Provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
