Bisignano comune,Bisignano comune.1
,
Bisignano – Veduta,Bisignano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Francesco Fucile (lista civica Bisignano futura) dal 4-10-2021
Territorio,Territorio
Coordinate,39°30′26.17″N 16°16′51.82″E
Altitudine,350 m s.l.m.
Superficie,"86,44 km²"
Abitanti,9 441[1] (30-11-2025)
Densità,"109,22 ab./km²"
Comuni confinanti,"Acri, Cerzeto, Lattarico, Luzzi, Mongrassano, San Marco Argentano, Santa Sofia d'Epiro, Tarsia, Torano Castello"
Altre informazioni,Altre informazioni
Cod. postale,87043
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078017
Cod. catastale,A887
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,bisignanesi
Patrono,Sant'Umile da Bisignano e San Francesco da Paola (compatrono)
Giorno festivo,26 novembre
Cartografia,Cartografia
Bisignano,Bisignano
Bisignano – MappaPosizione del comune di Bisignano all'interno della provincia di Cosenza,Bisignano – MappaPosizione del comune di Bisignano all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
