Scala Coeli comune,Scala Coeli comune.1
,
Scala Coeli – VedutaL'abitato di Scala Coeli visto dalla ex-Strada Statale 108ter,Scala Coeli – VedutaL'abitato di Scala Coeli visto dalla ex-Strada Statale 108ter
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Giovanni Matalone (lista civica Un futuro migliore) dal 4-10-2021
Territorio,Territorio
Coordinate,39°27′N 16°53′E
Altitudine,370 m s.l.m.
Superficie,"67,5 km²"
Abitanti,733[1] (30-11-2025)
Densità,"10,86 ab./km²"
Frazioni,San Morello
Comuni confinanti,"Campana, Cariati, Crucoli (KR), Mandatoriccio, Terravecchia, Umbriatico (KR)"
Altre informazioni,Altre informazioni
Cod. postale,87060
Prefisso,0983
Fuso orario,UTC+1
Codice ISTAT,078137
Cod. catastale,I485
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,scalesi
Patrono,sant'Antonio da Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Scala Coeli,Scala Coeli
Scala Coeli – MappaPosizione del comune di Scala Coeli all'interno della provincia di Cosenza,Scala Coeli – MappaPosizione del comune di Scala Coeli all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
