Celico comune,Celico comune.1
,
Celico – Veduta,Celico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Matteo Francesco Lettieri (lista civica Risorgi Celico) dal 4-10-2021
Territorio,Territorio
Coordinate,39°22′22.61″N 16°25′26.34″E
Altitudine,750 m s.l.m.
Superficie,"99,76 km²"
Abitanti,2 423[1] (30-11-2025)
Densità,"24,29 ab./km²"
Frazioni,"Fago del Soldato, Lagarò, Salerni"
Comuni confinanti,"Acri, Casali del Manco, Lappano, Longobucco, Rose, Rovito, San Pietro in Guarano, Spezzano della Sila"
Altre informazioni,Altre informazioni
Cod. postale,87053
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078034
Cod. catastale,C430
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,celichesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Celico,Celico
Celico – MappaPosizione del comune di Celico all'interno della provincia di Cosenza,Celico – MappaPosizione del comune di Celico all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
