Castiglione Cosentino comune,Castiglione Cosentino comune.1
,
Castiglione Cosentino – VedutaLa chiesa dei Santi Nicolò e Biagio e sullo sfondo il centro abitato,Castiglione Cosentino – VedutaLa chiesa dei Santi Nicolò e Biagio e sullo sfondo il centro abitato
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Salvatore Magarò (lista civica Come prima più di prima) dal 27-5-2019 (rieletto il 10-6-2024)
Territorio,Territorio
Coordinate,39°21′N 16°17′E
Altitudine,384 m s.l.m.
Superficie,"14,95 km²"
Abitanti,2 733[1] (30-11-2025)
Densità,"182,81 ab./km²"
Frazioni,"Canterame (o Filari), Capitano, Crocevia, Fontana, Mola, Orbo, Parulli, Ponte Crati, Pristini, Qualata, San Biagio, San Leonardo, Santa Lucia, Spina, Torre Bruciata, Torre Magna, Valle Donniche, Valle La Fontana, Villa Muzio, Volata, Vuda, Zampaglione, Zerti-Stilla"
Comuni confinanti,"Rende, Rose, San Pietro in Guarano"
Altre informazioni,Altre informazioni
Cod. postale,87040
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078030
Cod. catastale,C301
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,castiglionesi
Patrono,sant'Antonio da Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Castiglione Cosentino,Castiglione Cosentino
Castiglione Cosentino – MappaPosizione del comune di Castiglione Cosentino all'interno della provincia di Cosenza,Castiglione Cosentino – MappaPosizione del comune di Castiglione Cosentino all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
