Altilia comune,Altilia comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Pasqualino Sebastiano De Rose (Altilia nel cuore) dal 4-10-2021
Territorio,Territorio
Coordinate,39°07′49.76″N 16°15′09.72″E
Altitudine,594 m s.l.m.
Superficie,"10,56 km²"
Abitanti,671[1] (30-11-2025)
Densità,"63,54 ab./km²"
Frazioni,Maione
Comuni confinanti,"Belsito, Carpanzano, Grimaldi, Malito, Martirano (CZ), Motta Santa Lucia (CZ), Pedivigliano, Scigliano"
Altre informazioni,Altre informazioni
Cod. postale,87040
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078008
Cod. catastale,A234
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 990 GG[3]"
Nome abitanti,altiliesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Altilia,Altilia
Altilia – MappaPosizione del comune di Altilia all'interno della provincia di Cosenza,Altilia – MappaPosizione del comune di Altilia all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
