Mottafollone comune,Mottafollone comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Romeo Basile (lista civica Per Mottafollone) dal 26-5-2019
Territorio,Territorio
Coordinate,39°39′N 16°04′E
Altitudine,384 m s.l.m.
Superficie,"31,58 km²"
Abitanti,1 016[1] (30-11-2025)
Densità,"32,17 ab./km²"
Frazioni,"Gadursello, Gadurso"
Comuni confinanti,"Buonvicino, Grisolia, Malvito, San Sosti, Sant'Agata di Esaro"
Altre informazioni,Altre informazioni
Cod. postale,87010
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078085
Cod. catastale,F775
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 616 GG[3]"
Nome abitanti,Mottafollonesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Mottafollone,Mottafollone
Mottafollone – MappaPosizione del comune di Mottafollone all'interno della provincia di Cosenza,Mottafollone – MappaPosizione del comune di Mottafollone all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
