Parenti comune,Parenti comune.1
,
Parenti – VedutaPanorama di Parenti,Parenti – VedutaPanorama di Parenti
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Donatella Deposito (lista civica Obiettivo comune) dal 26-5-2019 (rieletta il 10-6-2024)
Territorio,Territorio
Coordinate,39°10′N 16°25′E
Altitudine,798 m s.l.m.
Superficie,"37,62 km²"
Abitanti,1 924[1] (30-11-2025)
Densità,"51,14 ab./km²"
Frazioni,"Bocca di Piazza, Cannavina, Carito, Favali, Guglielmo, Marcillera, Vallelaposta"
Comuni confinanti,"Aprigliano, Bianchi, Colosimi, Marzi, Rogliano, Taverna (CZ)"
Altre informazioni,Altre informazioni
Cod. postale,87040
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078093
Cod. catastale,G331
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,parentèsi
Patrono,Madonna del Carmine
Giorno festivo,terza domenica di luglio
Cartografia,Cartografia
Parenti,Parenti
Parenti – MappaPosizione del comune di Parenti all'interno della provincia di Cosenza,Parenti – MappaPosizione del comune di Parenti all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
