Lungro comune,Lungro comune.1
,
Lungro – Veduta,Lungro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Carmine Ferraro (lista civica Rinascita) dal 14-6-2022
Lingue ufficiali,arbërisht (albanese)
Territorio,Territorio
Coordinate,39°45′N 16°07′E
Altitudine,600 m s.l.m.
Superficie,"35,65 km²"
Abitanti,2 044[1] (30-11-2025)
Densità,"57,34 ab./km²"
Comuni confinanti,"Acquaformosa, Altomonte, Firmo, Orsomarso, San Donato di Ninea, Saracena"
Altre informazioni,Altre informazioni
Cod. postale,87010
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078069
Cod. catastale,E745
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 010 GG[3]"
Nome abitanti,lungresi(IT) ungërnjotë(AAE)
Patrono,san Nicola di Mira (Shën Kolli)
Giorno festivo,6 dicembre
Cartografia,Cartografia
Lungro,Lungro
Lungro – MappaPosizione del comune di Lungro all'interno della provincia di Cosenza,Lungro – MappaPosizione del comune di Lungro all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
