Luzzi comune,Luzzi comune.1
,
Luzzi – Veduta,Luzzi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Umberto Federico (lista civica ""Verso il Futuro"") dal 12-6-2022"
Territorio,Territorio
Coordinate,39°27′N 16°17′E
Altitudine,376[1] m s.l.m.
Superficie,"77,36 km²"
Abitanti,8 686[2] (30-11-2025)
Densità,"112,28 ab./km²"
Frazioni,"Cavoni, Petrini, Sbrescia, Serra Civita, Timparello, Maldirima, Torre Malizia, Immilano, Valleceraso, Focazza, Boccalupo, Linze, San Giuliano, Gidora, San Vito, Lupinello, Valleleotta, Pescara, Ruodo, Baracca, Pezze, San Nicola"
Comuni confinanti,"Acri, Bisignano, Lattarico, Montalto Uffugo, Rose"
Altre informazioni,Altre informazioni
Cod. postale,87040
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078070
Cod. catastale,E773
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 1 573 GG[4]"
Nome abitanti,"Luzzesi, o impropriamente “luzzitani”"
Patrono,Immacolata Concezione e san Francesco di Paola
Giorno festivo,"Patrona 12 febbraio, Compatrono 2 aprile"
Cartografia,Cartografia
Luzzi,Luzzi
Luzzi – MappaPosizione del comune di Luzzi all'interno della provincia di Cosenza,Luzzi – MappaPosizione del comune di Luzzi all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
