Rota Greca comune,Rota Greca comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Giuseppe De Monte[1] (Lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,39°28′N 16°07′E
Altitudine,510 m s.l.m.
Superficie,"13,12 km²"
Abitanti,894[2] (30-11-2025)
Densità,"68,14 ab./km²"
Frazioni,nessuna
Comuni confinanti,"Cerzeto, Fuscaldo, Lattarico, San Martino di Finita"
Altre informazioni,Altre informazioni
Cod. postale,87010
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078109
Cod. catastale,H585
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[3]
Nome abitanti,rotesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Rota Greca,Rota Greca
Rota Greca – MappaPosizione del comune di Rota Greca all'interno della provincia di Cosenza,Rota Greca – MappaPosizione del comune di Rota Greca all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
