Casali del Manco comune,Casali del Manco comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Francesca Pisani (lista civica #unpassoavanti Casali del Manco 2.0) dal 15-5-2023
Data di istituzione,5 maggio 2017
Territorio,Territorio
Coordinate,39°17′29.6″N 16°24′31″E
Altitudine,647 m s.l.m.
Superficie,"168,45[1] km²"
Abitanti,9 269[2] (30-11-2025)
Densità,"55,03 ab./km²"
Frazioni,"Acqua Coperta, Casole Bruzio, Verticelli,Casolesi, Catena, Cavaliere, Cicerata, Cribari, Croce Di Magara, Feruci, Lago Ariamacina, Lago Votturino, Lorica (in parte), Lorichella, Magli, Macchia, Mellaro, Morelli, Morelli Catena Sottana, Neto Di Ferrara, Neto Di Monaco, Pedace, Perito, Pizzicarizia, Righitano, Righìo, San Nicola Silano, Silvana Mansio, Scalzati, Schiavonea di Trenta, Sculca, Sculchiella, Serra Pedace, Spezzano Piccolo, Trenta."
Comuni confinanti,"Aprigliano, Celico, Cosenza, Longobucco, Pietrafitta, Rovito, San Giovanni in Fiore, Spezzano della Sila"
Altre informazioni,Altre informazioni
Cod. postale,87059
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078156
Cod. catastale,M385
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[3]
Nome abitanti,casalini
Patrono,san Giovanni Paolo II
Giorno festivo,22 ottobre
Cartografia,Cartografia
Casali del Manco,Casali del Manco
Casali del Manco – MappaPosizione del comune di Casali del Manco nella provincia di Cosenza,Casali del Manco – MappaPosizione del comune di Casali del Manco nella provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
