Tarsia comune,Tarsia comune.1
,
Tarsia – Veduta,Tarsia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Roberto Ameruso (lista civica Tarsia bene comune) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,39°37′N 16°16′E
Altitudine,192 m s.l.m.
Superficie,"48,28 km²"
Abitanti,1 818[1] (30-11-2025)
Densità,"37,66 ab./km²"
Frazioni,"Caselle, Ferramonti, Matrangola"
Comuni confinanti,"Bisignano, Corigliano-Rossano, Roggiano Gravina, San Demetrio Corone, San Lorenzo del Vallo, San Marco Argentano, Santa Sofia d'Epiro, Spezzano Albanese, Terranova da Sibari"
Altre informazioni,Altre informazioni
Cod. postale,87040
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078145
Cod. catastale,L055
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,tarsiani
Patrono,san Francesco da Paola
Giorno festivo,ultima domenica di maggio
Cartografia,Cartografia
Tarsia,Tarsia
Tarsia – MappaPosizione del comune di Tarsia all'interno della provincia di Cosenza,Tarsia – MappaPosizione del comune di Tarsia all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
