Pedivigliano comune,Pedivigliano comune.1
,
Pedivigliano – VedutaVista aerea panoramica di Pedivigliano,Pedivigliano – VedutaVista aerea panoramica di Pedivigliano
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Giuseppe Perri (lista civica Scegli Pedivigliano) dal 10-6-2024
Territorio,Territorio
Coordinate,39°06′38.13″N 16°19′16.05″E
Altitudine,580 m s.l.m.
Superficie,"16,65 km²"
Abitanti,725[1] (30-11-2025)
Densità,"43,54 ab./km²"
Frazioni,"Borboruso, Pittarella, Villanova"
Comuni confinanti,"Altilia, Colosimi, Decollatura (CZ), Motta Santa Lucia (CZ), Scigliano, Soveria Mannelli (CZ)"
Altre informazioni,Altre informazioni
Cod. postale,87050
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078096
Cod. catastale,G411
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,pediviglianesi
Cartografia,Cartografia
Pedivigliano,Pedivigliano
Pedivigliano – MappaPosizione del comune di Pedivigliano all'interno della provincia di Cosenza,Pedivigliano – MappaPosizione del comune di Pedivigliano all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
