Carpanzano comune,Carpanzano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Valerio Vigliaturo (lista civica Unità Continuità per Carpanzano) dal 12-6-2022
Territorio,Territorio
Coordinate,39°09′N 16°18′E
Altitudine,600 m s.l.m.
Superficie,"14,27 km²"
Abitanti,185[1] (30-11-2025)
Densità,"12,96 ab./km²"
Comuni confinanti,"Altilia, Belsito, Colosimi, Marzi, Scigliano"
Altre informazioni,Altre informazioni
Cod. postale,87050
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078027
Cod. catastale,B813
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,carpanzanesi
Patrono,SS Madonna delle Grazie
Giorno festivo,quarta domenica di settembre
Cartografia,Cartografia
Carpanzano,Carpanzano
Carpanzano – MappaPosizione del comune di Carpanzano all'interno della provincia di Cosenza,Carpanzano – MappaPosizione del comune di Carpanzano all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
