Oriolo comune,Oriolo comune.1
,
Oriolo – VedutaVeduta di Oriolo e del castello,Oriolo – VedutaVeduta di Oriolo e del castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Simona Colotta (lista civica ""Oriolo nel cuore"") dal 27-5-2019"
Territorio,Territorio
Coordinate,40°03′13.71″N 16°26′45.92″E
Altitudine,450 m s.l.m.
Superficie,"85,6 km²"
Abitanti,1 767[1] (30-11-2025)
Densità,"20,64 ab./km²"
Comuni confinanti,"Albidona, Alessandria del Carretto, Amendolara, Canna, Castroregio, Cersosimo (PZ), Montegiordano, Nocara, Roseto Capo Spulico, San Giorgio Lucano (MT)"
Altre informazioni,Altre informazioni
Cod. postale,87073
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078087
Cod. catastale,G110
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,oriolani o oriolesi o oriesi
Patrono,san Giorgio Martire
Giorno festivo,23 aprile
Cartografia,Cartografia
Oriolo,Oriolo
Oriolo – MappaPosizione del comune di Oriolo all'interno della provincia di Cosenza,Oriolo – MappaPosizione del comune di Oriolo all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
