Mongrassano comune,Mongrassano comune.1
,
Mongrassano – VedutaMunicipio,Mongrassano – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Luisa Marino (Mongrassano Nel Cuore) dal 10-6-2024
Territorio,Territorio
Coordinate,39°32′N 16°07′E
Altitudine,540 m s.l.m.
Superficie,"35,16 km²"
Abitanti,1 449[1] (30-11-2025)
Densità,"41,21 ab./km²"
Frazioni,"Cataldo, Cocchiato, Sbrandello, Signorello, Mongrassano Scalo"
Comuni confinanti,"Acquappesa, Bisignano, Cervicati, Cerzeto, Fagnano Castello, Fuscaldo, Guardia Piemontese, San Marco Argentano"
Altre informazioni,Altre informazioni
Cod. postale,87040
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078080
Cod. catastale,F370
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 998 GG[3]"
Nome abitanti,mongrassanesi
Patrono,santa Caterina d'Alessandria
Giorno festivo,25 novembre
Cartografia,Cartografia
Mongrassano,Mongrassano
Mongrassano – MappaPosizione del comune di Mongrassano all'interno della provincia di Cosenza,Mongrassano – MappaPosizione del comune di Mongrassano all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
