Sangineto comune,Sangineto comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Michele Guardia (lista civica Sangineto Oltre) dal 4-10-2021
Territorio,Territorio
Coordinate,39°36′15″N 15°54′51″E
Altitudine,275 m s.l.m.
Superficie,"27,51 km²"
Abitanti,1 208[1] (30-11-2025)
Densità,"43,91 ab./km²"
Frazioni,"Brombolo, Cacciola, Pantana, San Basile, Sangineto Lido, Santo Ianni"
Comuni confinanti,"Belvedere Marittimo, Bonifati, Sant'Agata di Esaro"
Altre informazioni,Altre informazioni
Cod. postale,87020
Prefisso,0982
Fuso orario,UTC+1
Codice ISTAT,078117
Cod. catastale,H877
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,sanginetesi
Patrono,"Santa Maria della Neve, san Michele Arcangelo"
Giorno festivo,5 agosto - 28-29 settembre
Cartografia,Cartografia
Sangineto,Sangineto
Sangineto – MappaPosizione del comune di Sangineto all'interno della provincia di Cosenza,Sangineto – MappaPosizione del comune di Sangineto all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
