Francavilla Marittima comune,Francavilla Marittima comune.1
,
Francavilla Marittima – VedutaVista aerea panoramica di Francavilla Marittima,Francavilla Marittima – VedutaVista aerea panoramica di Francavilla Marittima
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Pino Lucente (vicesindaco) f.f. (lista civica La rinascita) dal 15-9-2025
Territorio,Territorio
Coordinate,39°49′01″N 16°23′44″E
Altitudine,273 m s.l.m.
Superficie,"33,02 km²"
Abitanti,2 711[1] (30-11-2025)
Densità,"82,1 ab./km²"
Comuni confinanti,"Cassano all'Ionio, Cerchiara di Calabria, Civita"
Altre informazioni,Altre informazioni
Cod. postale,87072
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078056
Cod. catastale,D764
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,francavillesi/francavillari
Patrono,san Gaetano Thiene
Giorno festivo,7 agosto
Cartografia,Cartografia
Francavilla Marittima,Francavilla Marittima
Francavilla Marittima – MappaPosizione del comune di Francavilla Marittima all'interno della provincia di Cosenza,Francavilla Marittima – MappaPosizione del comune di Francavilla Marittima all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
