Pietrapaola comune,Pietrapaola comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Manuela Labonia (lista civica Tradizione e futuro) dal 13-6-2022
Territorio,Territorio
Coordinate,39°29′N 16°49′E
Altitudine,375 m s.l.m.
Superficie,"52,82 km²"
Abitanti,998[1] (30-11-2025)
Densità,"18,89 ab./km²"
Frazioni,Camigliano
Comuni confinanti,"Bocchigliero, Calopezzati, Caloveto, Campana, Longobucco, Mandatoriccio"
Altre informazioni,Altre informazioni
Cod. postale,87060
Prefisso,0983
Fuso orario,UTC+1
Codice ISTAT,078099
Cod. catastale,G622
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,pietrapaolesi o pietropaolesi
Patrono,san Domenico di Guzmán
Giorno festivo,4 agosto
Cartografia,Cartografia
Pietrapaola,Pietrapaola
Pietrapaola – MappaPosizione del comune di Pietrapaola all'interno della provincia di Cosenza,Pietrapaola – MappaPosizione del comune di Pietrapaola all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
