Sant'Agata di Esaro comune,Sant'Agata di Esaro comune.1
,
Sant'Agata di Esaro – Veduta,Sant'Agata di Esaro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Mario Nocito (Lista civica ""FuTura"") dal 22-9-2020"
Territorio,Territorio
Coordinate,39°37′N 15°59′E
Altitudine,461 m s.l.m.
Superficie,"47,63 km²"
Abitanti,1 708[1] (30-11-2025)
Densità,"35,86 ab./km²"
Frazioni,"Alvani, Aria della Scala, Carcavecchia, Fontanelle, Fosso del Lupo, Frassi, Lupinati, Macchia del Monte, Macchie, Miniere, Muscariello, Oliveta, Pancali, Pascalia, Piano Menta, Pipirato, Salerno, San Domenico, San Giovanni, Scivolenta, Silica, Valloni, Vitizzano"
Comuni confinanti,"Belvedere Marittimo, Bonifati, Buonvicino, Cetraro, Malvito, Mottafollone, Sangineto"
Altre informazioni,Altre informazioni
Cod. postale,87010
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078131
Cod. catastale,I192
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 560 GG[3]"
Nome abitanti,santagatesi
Patrono,Sant'Agata San Francesco da Paola
Giorno festivo,5 febbraio
Cartografia,Cartografia
Sant'Agata di Esaro,Sant'Agata di Esaro
Sant'Agata di Esaro – MappaPosizione del comune di Sant'Agata di Esaro all'interno della provincia di Cosenza,Sant'Agata di Esaro – MappaPosizione del comune di Sant'Agata di Esaro all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
