Cariati comune,Cariati comune.1
,
Cariati – Veduta,Cariati – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Cataldo Minò (lista civica Insieme) dal 15-05-2023
Territorio,Territorio
Coordinate,39°29′46.57″N 16°57′17.82″E
Altitudine,50 m s.l.m.
Superficie,"28,82 km²"
Abitanti,7 585[1] (30-11-2025)
Densità,"263,19 ab./km²"
Frazioni,"San Cataldo, Santa Maria, Tramonti, San Leo"
Comuni confinanti,"Crucoli (KR), Scala Coeli, Terravecchia"
Altre informazioni,Altre informazioni
Cod. postale,87062
Prefisso,0983
Fuso orario,UTC+1
Codice ISTAT,078025
Cod. catastale,B774
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,cariatesi
Patrono,san Leonardo
Giorno festivo,6 novembre
Cartografia,Cartografia
Cariati,Cariati
Cariati – MappaPosizione del comune di Cariati all'interno della provincia di Cosenza,Cariati – MappaPosizione del comune di Cariati all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
