San Lorenzo Bellizzi comune,San Lorenzo Bellizzi comune.1
,
San Lorenzo Bellizzi – Veduta,San Lorenzo Bellizzi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Antonio Cersosimo (Uniti per San Lorenzo Bellizzi) dal 4-10-2021
Territorio,Territorio
Coordinate,39°53′N 16°20′E
Altitudine,830 m s.l.m.
Superficie,"40,63[1] km²"
Abitanti,501[2] (30-11-2025)
Densità,"12,33 ab./km²"
Comuni confinanti,"Castrovillari, Cerchiara di Calabria, Civita, Terranova di Pollino (PZ)"
Altre informazioni,Altre informazioni
Cod. postale,87070
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078120
Cod. catastale,H961
Targa,CS
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 458 GG[4]"
Nome abitanti,sanlorenzani[1]
Patrono,san Lorenzo martire
Giorno festivo,10 agosto
Cartografia,Cartografia
San Lorenzo Bellizzi,San Lorenzo Bellizzi
San Lorenzo Bellizzi – MappaPosizione del comune di San Lorenzo Bellizzi all'interno della provincia di Cosenza,San Lorenzo Bellizzi – MappaPosizione del comune di San Lorenzo Bellizzi all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
