Panettieri comune,Panettieri comune.1
,
Panettieri – Veduta,Panettieri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Salvatore Parrotta (lista civica Panettieri insieme si può) dal 13-6-2022
Territorio,Territorio
Coordinate,39°04′47.58″N 16°27′34.8″E
Altitudine,937 m s.l.m.
Superficie,"14,99 km²"
Abitanti,306[1] (30-11-2025)
Densità,"20,41 ab./km²"
Comuni confinanti,"Bianchi, Carlopoli (CZ), Sorbo San Basile (CZ)"
Altre informazioni,Altre informazioni
Cod. postale,87050
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,078090
Cod. catastale,G307
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,panetteresi
Patrono,san Carlo Borromeo
Giorno festivo,prima domenica di luglio
Cartografia,Cartografia
Panettieri,Panettieri
Panettieri – MappaPosizione del comune di Panettieri all'interno della provincia di Cosenza,Panettieri – MappaPosizione del comune di Panettieri all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
