Aiello Calabro comune,Aiello Calabro comune.1
,
Aiello Calabro – VedutaIl Palazzo Cybo Malaspina,Aiello Calabro – VedutaIl Palazzo Cybo Malaspina
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Luca Lepore (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,39°07′N 16°10′E
Altitudine,502 m s.l.m.
Superficie,"38,51 km²"
Abitanti,1 326[1] (30-11-2025)
Densità,"34,43 ab./km²"
Frazioni,"Stragolera, Cannavali, Giani, Santa Caterina, Campo, Patricello, Acquafredda, Macchia, Alzinetta, Fargani, Borgile, Romia, Passamorrone, Buda, Castagniti, Serra Pilata, Coschi, Tavolone, Bocca Ceraso, Campagna, Calendola, Persico, Pondurale, Copano, Cotura, Tardo, Valle Oscura, Guarno, San Martino, Cappellano, Accroce"
Comuni confinanti,"Cleto, Grimaldi, Lago, Martirano (CZ), Martirano Lombardo (CZ), San Pietro in Amantea, Serra d'Aiello"
Altre informazioni,Altre informazioni
Cod. postale,87031
Prefisso,0982
Fuso orario,UTC+1
Codice ISTAT,078004
Cod. catastale,A102
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 808 GG[3]"
Nome abitanti,aiellesi (in dialetto calabrese ajellisi)
Patrono,san Geniale martire
Giorno festivo,prima domenica di maggio
Cartografia,Cartografia
Aiello Calabro,Aiello Calabro
Aiello Calabro – MappaPosizione del comune di Aiello Calabro all'interno della provincia di Cosenza,Aiello Calabro – MappaPosizione del comune di Aiello Calabro all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
