Provincia di Cosenza provincia,Provincia di Cosenza provincia.1
,
"Provincia di Cosenza – VedutaPalazzo del Governo, sede della Provincia.","Provincia di Cosenza – VedutaPalazzo del Governo, sede della Provincia."
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Amministrazione,Amministrazione
Capoluogo,Cosenza
Presidente,Giancarlo Lamensa (centro-destra) dal 9-12-2025
Territorio,Territorio
Coordinate del capoluogo,39°18′N 16°15′E
Superficie,"6 709,75 km²"
Abitanti,668 209[1] (30-9-2025)
Densità,"99,59 ab./km²"
Comuni,150 comuni
Province confinanti,"Potenza, Matera, Crotone, Catanzaro"
Altre informazioni,Altre informazioni
Cod. postale,87100
Prefisso,"0981, 0982, 0983, 0984, 0985"
Fuso orario,UTC+1
ISO 3166-2,IT-CS
Codice ISTAT,078
Targa,CS
PIL,"(nominale) 11 139,06 mln €[2](2021)"
PIL procapite,(nominale) 16 513 €[2](2021)
Cartografia,Cartografia
Provincia di Cosenza – Localizzazione,Provincia di Cosenza – Localizzazione
Provincia di Cosenza – MappaPosizione della provincia di Cosenza all'interno della Calabria.,Provincia di Cosenza – MappaPosizione della provincia di Cosenza all'interno della Calabria.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
