Terravecchia comune,Terravecchia comune.1
,
Terravecchia – VedutaPanoramica su Terravecchia,Terravecchia – VedutaPanoramica su Terravecchia
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Paolo Pignataro (lista civica Progressisti) dal 15-5-2023
Data di istituzione,1921
Territorio,Territorio
Coordinate,39°27′57.38″N 16°56′46.43″E
Altitudine,472 m s.l.m.
Superficie,"20,12 km²"
Abitanti,555[1] (30-11-2025)
Densità,"27,58 ab./km²"
Comuni confinanti,"Cariati, Crucoli (KR), Scala Coeli"
Altre informazioni,Altre informazioni
Cod. postale,87060
Prefisso,0983
Fuso orario,UTC+1
Codice ISTAT,078147
Cod. catastale,L134
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,terravecchiesi
Patrono,Madonna del Carmine
Giorno festivo,martedì dopo Pasqua
Cartografia,Cartografia
Terravecchia,Terravecchia
Terravecchia – MappaPosizione del comune di Terravecchia all'interno della provincia di Cosenza,Terravecchia – MappaPosizione del comune di Terravecchia all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
