Marano Marchesato comune,Marano Marchesato comune.1
,
Marano Marchesato – VedutaParrocchia Maria SS.ma del Carmine,Marano Marchesato – VedutaParrocchia Maria SS.ma del Carmine
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Rosa Correale (Commissario prefettizio) dal 7-6-2025
Territorio,Territorio
Coordinate,39°18′45.43″N 16°09′44.85″E
Altitudine,550 m s.l.m.
Superficie,"5,04 km²"
Abitanti,3 340[1] (30-11-2025)
Densità,"662,7 ab./km²"
Frazioni,"Carmine, Malvitani, Perri, Piano"
Comuni confinanti,"Castrolibero, Marano Principato, Rende"
Altre informazioni,Altre informazioni
Cod. postale,87040
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078076
Cod. catastale,E914
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 899 GG[3]"
Nome abitanti,maranesi
Patrono,Madonna del Carmine
Giorno festivo,16 luglio
Cartografia,Cartografia
Marano Marchesato,Marano Marchesato
Marano Marchesato – MappaPosizione del comune di Marano Marchesato all'interno della provincia di Cosenza,Marano Marchesato – MappaPosizione del comune di Marano Marchesato all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
