Laino Borgo comune,Laino Borgo comune.1
,
Laino Borgo – Veduta,Laino Borgo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Mariangelina Russo (lista civica Il paese che vogliamo) dal 26-5-2019
Territorio,Territorio
Coordinate,39°57′N 15°58′E
Altitudine,271 m s.l.m.
Superficie,"57,08 km²"
Abitanti,1 593[1] (30-11-2025)
Densità,"27,91 ab./km²"
Frazioni,"Pedali, Pianette, San Primo, Santo Ianni"
Comuni confinanti,"Aieta, Castelluccio Inferiore (PZ), Castelluccio Superiore (PZ), Laino Castello, Lauria (PZ), Rotonda (PZ), Tortora, Viggianello (PZ)"
Altre informazioni,Altre informazioni
Cod. postale,87014
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078063
Cod. catastale,E417
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,lainesi
Patrono,Beato Pietro Paolo Navarro
Giorno festivo,7 luglio
Cartografia,Cartografia
Laino Borgo,Laino Borgo
Laino Borgo – MappaPosizione del comune di Laino Borgo all'interno della provincia di Cosenza,Laino Borgo – MappaPosizione del comune di Laino Borgo all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
