San Cosmo Albanese comune,San Cosmo Albanese comune.1
,
San Cosmo Albanese – Veduta,San Cosmo Albanese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Damiano Baffa (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,39°35′N 16°25′E
Altitudine,400 m s.l.m.
Superficie,"11,57 km²"
Abitanti,543[1] (30-11-2025)
Densità,"46,93 ab./km²"
Frazioni,"Campanaro, Matermare"
Comuni confinanti,"Acri, Corigliano-Rossano, San Demetrio Corone, San Giorgio Albanese, Vaccarizzo Albanese"
Altre informazioni,Altre informazioni
Cod. postale,87060
Prefisso,0983
Fuso orario,UTC+1
Codice ISTAT,078113
Cod. catastale,H806
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,sancosmitani Strigàjot in arbëreshë
Patrono,SS. Cosma e Damiano
Giorno festivo,27 settembre
Cartografia,Cartografia
San Cosmo Albanese,San Cosmo Albanese
San Cosmo Albanese – MappaPosizione del comune di San Cosmo Albanese all'interno della provincia di Cosenza,San Cosmo Albanese – MappaPosizione del comune di San Cosmo Albanese all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
